service_id,date,exception_type
0078ML556114253161588,20140206,2
0078ML556114553272405,20140127,2
0078ML556114553272405,20140206,2
0079ML246118453491756,20140127,2
0079ML246118453491756,20140206,2
0079ML246119153578233,20140127,2
0079ML246119153578233,20140206,2
0079ML246120153758413,20140127,2
0079ML246120153758413,20140206,2
0079ML246121153938593,20140127,2
0079ML246121153938593,20140206,2
0088UE34572040981258,20140127,2
0088UE34572040981258,20140206,2
0091UE54640630286471,20140127,2
0091UE54640630286471,20140206,2
0091UE54640700309270,20140127,2
0091UE54640700309270,20140206,2
0091UE54640810356771,20140113,2
0091UE54640810356771,20140116,2
0091UE54640810356771,20140120,2
0091UE54640810356771,20140123,2
0091UE54640810356771,20140130,2
0091UE54640810356771,20140203,2
0091UE54640810356771,20140210,2
0091UE54640810356771,20140213,2
0093UE54680710724499,20140127,2
0093UE54680710724499,20140206,2
0093UE54680740770699,20140127,2
0093UE54680740770699,20140206,2
0093UE54680810813929,20140127,2
0093UE54680810813929,20140206,2
0093UE546815401514544,20140127,2
0093UE546815401514544,20140206,2
0093UE546816101565679,20140127,2
0093UE546816101565679,20140206,2
0093UE546816401606944,20140127,2
0093UE546816401606944,20140206,2
0095UE54650840918385,20140127,2
0095UE54650840918385,20140206,2
0095UE54650850933492,20140113,2
0095UE54650850933492,20140116,2
0095UE54650850933492,20140120,2
0095UE54650850933492,20140123,2
0095UE54650850933492,20140130,2
0095UE54650850933492,20140203,2
0095UE54650850933492,20140210,2
0095UE54650850933492,20140213,2
0095UE54650910967975,20140127,2
0095UE54650910967975,20140206,2
0095UE546509401017565,20140127,2
0095UE546509401017565,20140206,2
0095UE546509501032672,20140113,2
0095UE546509501032672,20140116,2
0095UE546509501032672,20140120,2
0095UE546509501032672,20140123,2
0095UE546509501032672,20140130,2
0095UE546509501032672,20140203,2
0095UE546509501032672,20140210,2
0095UE546509501032672,20140213,2
0095UE546510101067155,20140127,2
0095UE546510101067155,20140206,2
0095UE546510401116745,20140127,2
0095UE546510401116745,20140206,2
0095UE546510501131852,20140113,2
0095UE546510501131852,20140116,2
0095UE546510501131852,20140120,2
0095UE546510501131852,20140123,2
0095UE546510501131852,20140130,2
0095UE546510501131852,20140203,2
0095UE546510501131852,20140210,2
0095UE546510501131852,20140213,2
0095UE546511101166335,20140127,2
0095UE546511101166335,20140206,2
0095UE546511401215925,20140127,2
0095UE546511401215925,20140206,2
0095UE546511501231089,20140113,2
0095UE546511501231089,20140116,2
0095UE546511501231089,20140120,2
0095UE546511501231089,20140123,2
0095UE546511501231089,20140130,2
0095UE546511501231089,20140203,2
0095UE546511501231089,20140210,2
0095UE546511501231089,20140213,2
0095UE546512101265515,20140127,2
0095UE546512101265515,20140206,2
0095UE546512401315105,20140127,2
0095UE546512401315105,20140206,2
0095UE546512501330269,20140113,2
0095UE546512501330269,20140116,2
0095UE546512501330269,20140120,2
0095UE546512501330269,20140123,2
0095UE546512501330269,20140130,2
0095UE546512501330269,20140203,2
0095UE546512501330269,20140210,2
0095UE546512501330269,20140213,2
0095UE546513101364695,20140127,2
0095UE546513101364695,20140206,2
0095UE546513401414285,20140127,2
0095UE546513401414285,20140206,2
0095UE546513501429449,20140113,2
0095UE546513501429449,20140116,2
0095UE546513501429449,20140120,2
0095UE546513501429449,20140123,2
0095UE546513501429449,20140130,2
0095UE546513501429449,20140203,2
0095UE546513501429449,20140210,2
0095UE546513501429449,20140213,2
0095UE546514101463875,20140127,2
0095UE546514101463875,20140206,2
0095UE546514401513465,20140127,2
0095UE546514401513465,20140206,2
0095UE546514501528629,20140113,2
0095UE546514501528629,20140116,2
0095UE546514501528629,20140120,2
